NASDAQ,Close
15:30 - 15:31 01/02/2020,8805.04
15:31 - 15:32 01/02/2020,8797.7
15:32 - 15:33 01/02/2020,8801.38
15:33 - 15:34 01/02/2020,8810.53
15:34 - 15:35 01/02/2020,8815.19
15:35 - 15:36 01/02/2020,8822.34
15:36 - 15:37 01/02/2020,8825.67
15:37 - 15:38 01/02/2020,8827.55
15:38 - 15:39 01/02/2020,8825.95
15:39 - 15:40 01/02/2020,8826.72
15:40 - 15:41 01/02/2020,8828.66
15:41 - 15:42 01/02/2020,8825.63
15:42 - 15:43 01/02/2020,8822.86
15:43 - 15:44 01/02/2020,8824.73
15:44 - 15:45 01/02/2020,8824.52
15:45 - 15:46 01/02/2020,8824.6
15:46 - 15:47 01/02/2020,8823.31
15:47 - 15:48 01/02/2020,8819.38
15:48 - 15:49 01/02/2020,8820.82
15:49 - 15:50 01/02/2020,8817.85
15:50 - 15:51 01/02/2020,8815.17
15:51 - 15:52 01/02/2020,8816.14
15:52 - 15:53 01/02/2020,8816.76
15:53 - 15:54 01/02/2020,8816.37
15:54 - 15:55 01/02/2020,8817.83
15:55 - 15:56 01/02/2020,8821.06
15:56 - 15:57 01/02/2020,8824.99
15:57 - 15:58 01/02/2020,8827.13
15:58 - 15:59 01/02/2020,8824.23
15:59 - 16:00 01/02/2020,8828.85
16:00 - 16:01 01/02/2020,8824.99
16:01 - 16:02 01/02/2020,8822.04
16:02 - 16:03 01/02/2020,8817.46
16:03 - 16:04 01/02/2020,8819.33
16:04 - 16:05 01/02/2020,8820.31
16:05 - 16:06 01/02/2020,8818.97
16:06 - 16:07 01/02/2020,8821.88
16:07 - 16:08 01/02/2020,8821.27
16:08 - 16:09 01/02/2020,8820.14
16:09 - 16:10 01/02/2020,8819.82
16:10 - 16:11 01/02/2020,8821.43
16:11 - 16:12 01/02/2020,8815.2
16:12 - 16:13 01/02/2020,8813.17
16:13 - 16:14 01/02/2020,8808
16:14 - 16:15 01/02/2020,8805.32
16:15 - 16:16 01/02/2020,8793.44
16:16 - 16:17 01/02/2020,8793.9
16:17 - 16:18 01/02/2020,8798.56
16:18 - 16:19 01/02/2020,8800.82
16:19 - 16:20 01/02/2020,8798.13
16:20 - 16:21 01/02/2020,8795.69
16:21 - 16:22 01/02/2020,8796.89
16:22 - 16:23 01/02/2020,8795.09
16:23 - 16:24 01/02/2020,8789.42
16:24 - 16:25 01/02/2020,8791.11
16:25 - 16:26 01/02/2020,8789.39
16:26 - 16:27 01/02/2020,8792.87
16:27 - 16:28 01/02/2020,8795.64
16:28 - 16:29 01/02/2020,8797.68
16:29 - 16:30 01/02/2020,8799.95
16:30 - 16:31 01/02/2020,8800.2
16:31 - 16:32 01/02/2020,8795.48
16:32 - 16:33 01/02/2020,8797.15
16:33 - 16:34 01/02/2020,8798.55
16:34 - 16:35 01/02/2020,8798.96
16:35 - 16:36 01/02/2020,8797.94
16:36 - 16:37 01/02/2020,8798.95
16:37 - 16:38 01/02/2020,8795.76
16:38 - 16:39 01/02/2020,8792.13
16:39 - 16:40 01/02/2020,8793.37
16:40 - 16:41 01/02/2020,8793.48
16:41 - 16:42 01/02/2020,8795.64
16:42 - 16:43 01/02/2020,8797.63
16:43 - 16:44 01/02/2020,8798.9
16:44 - 16:45 01/02/2020,8798.92
16:45 - 16:46 01/02/2020,8800.96
16:46 - 16:47 01/02/2020,8801.03
16:47 - 16:48 01/02/2020,8800.82
16:48 - 16:49 01/02/2020,8796.44
16:49 - 16:50 01/02/2020,8799.63
16:50 - 16:51 01/02/2020,8799.7
16:51 - 16:52 01/02/2020,8797.89
16:52 - 16:53 01/02/2020,8799.86
16:53 - 16:54 01/02/2020,8800.37
16:54 - 16:55 01/02/2020,8800.64
16:55 - 16:56 01/02/2020,8805.65
16:56 - 16:57 01/02/2020,8807.78
16:57 - 16:58 01/02/2020,8810.25
16:58 - 16:59 01/02/2020,8810.97
16:59 - 17:00 01/02/2020,8810.98
17:00 - 17:01 01/02/2020,8812.26
17:01 - 17:02 01/02/2020,8810.04
17:02 - 17:03 01/02/2020,8809.91
17:03 - 17:04 01/02/2020,8809.87
17:04 - 17:05 01/02/2020,8810.44
17:05 - 17:06 01/02/2020,8809.49
17:06 - 17:07 01/02/2020,8811.45
17:07 - 17:08 01/02/2020,8811.73
17:08 - 17:09 01/02/2020,8811.02
17:09 - 17:10 01/02/2020,8811.94
17:10 - 17:11 01/02/2020,8811.97
17:11 - 17:12 01/02/2020,8812.78
17:12 - 17:13 01/02/2020,8815.48
17:13 - 17:14 01/02/2020,8814.02
17:14 - 17:15 01/02/2020,8816.17
17:15 - 17:16 01/02/2020,8815.16
17:16 - 17:17 01/02/2020,8815.61
17:17 - 17:18 01/02/2020,8814.57
17:18 - 17:19 01/02/2020,8812.55
17:19 - 17:20 01/02/2020,8811.07
17:20 - 17:21 01/02/2020,8811.8
17:21 - 17:22 01/02/2020,8812.63
17:22 - 17:23 01/02/2020,8811.8
17:23 - 17:24 01/02/2020,8813.33
17:24 - 17:25 01/02/2020,8815.02
17:25 - 17:26 01/02/2020,8813.11
17:26 - 17:27 01/02/2020,8811.52
17:27 - 17:28 01/02/2020,8811.75
17:28 - 17:29 01/02/2020,8811.67
17:29 - 17:30 01/02/2020,8810.79
17:30 - 17:31 01/02/2020,8809.2
